青姦,野合
アスペ,★
明盲,字の読めない人
躄,足の不自由な人
淫売,売春
穢多,★
唖,聾者
片親,★
カタワ,★
片端,★
がちゃ目,斜視
姦通,不倫行為
キ印,精神障害者
気違い,★
気違い沙汰,★
気違いに刃物,★
ぎっちょ,左利き
シロンボ,白人
クロンボ,黒人
黒んぼ,黒人
クンニ,★
健全なる精神は健全なる身体に宿る,★
強姦,乱暴
虚仮,精神障害者
色盲,色覚異常
支那,中国
支那人,中国人
支那蕎麦,ラーメン
支那竹,メンマ
支那料理,中華料理
jap, 日本人
jａｐ, 日本人
ｼﾞｬｯﾌﾟ, 日本人
ジャップ,日本人
障害者,障がい者
情夫,愛人
情婦,愛人
心障児,★
心障者,★
精神異常,精神障害
精神分裂病,統合失調症
痴呆症,認知症
腟,★
ダウン症,★
チャンコロ,中国人
チョン,韓国人
跛,足の不自由な人
聾,耳の不自由な人
聾桟敷,きこえないところ
低脳,学習障害
低脳児,学習障害児
手ん棒,隻腕
特殊学級,身障児学級
特殊学校,特殊教育学校
特殊部落,同和地区
吃,吃音
ニガー,黒人
ニグロ,黒人
人非人,人でなし
売女,★
馬鹿チョンカメラ,カメラ
馬鹿でもチョンでも,★
白痴,精神障害者
発狂する,気が狂う
パン助,娼婦
半島人,朝鮮人
跛,足の不自由な人
フェラ,★
非人,★
不具,身体障害者
部落,集落
マンコ,★
まんこ,★
まんさん,女さん
めくら,目の不自由な人
メクラ,目の不自由な人
盲判を押す,ろくに見ないで判を押す
盲滅法,やみくも
めっかち,隻眼
盲愛する,むやみに可愛がる
盲人,目の不自由な人
文盲,字の読めない人
寄目,斜視
癩病,ハンセン病
露助,ロシア人
ロンパリ,斜視
